,name,level,record_longest_win_streak,losses,total_games_played,win_loss_ratio,games_played,deaths,wins,kd_ratio,suicides,kills,assists,record_kill_streak
269,SteweyGriffn,251.0,97.0,1472.0,7046.0,1.30298912525177,7046.0,32620.0,1918.0,1.7191600799560547,8499.0,56079.0,11057.0,20.0
270,ottodens,1000.0,25.0,1130.0,19159.0,0.7530973553657532,19159.0,81775.0,851.0,1.2397676706314087,27469.0,101382.0,16557.0,18.0
271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
273,Hbk999ty,709.0,61.0,186.0,5448.0,0.7365591526031494,5448.0,19883.0,137.0,1.5413670539855957,7875.0,30647.0,8418.0,12.0
274,Remix2Ignition,748.0,81.0,823.0,11163.0,0.43256378173828125,11163.0,38260.0,356.0,1.0815995931625366,3455.0,41382.0,11899.0,14.0
275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276,ChandoDiaz,743.0,21.0,570.0,12575.0,0.4964912235736847,12575.0,39965.0,283.0,0.9274365305900574,829.0,37065.0,13993.0,14.0
277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
279,UNPOPULAR_META,615.0,31.0,2314.0,15827.0,2.1603283882141113,15827.0,148225.0,4999.0,1.2217170000076294,11024.0,181089.0,38888.0,33.0
280,SOME_GOOD_DUDE,224.0,50.0,385.0,3994.0,0.4623376727104187,3994.0,10927.0,178.0,1.863640546798706,214.0,20364.0,3415.0,14.0
281,tickytitock,531.0,69.0,1033.0,8849.0,0.7773475050926208,8849.0,41084.0,803.0,1.7231525182724,4386.0,70794.0,8810.0,24.0
282,Nick91Mole,727.0,33.0,1116.0,8243.0,0.8808243870735168,8243.0,46335.0,983.0,2.1358368396759033,17630.0,98964.0,19957.0,25.0
283,harro_kitty,367.0,56.0,458.0,7307.0,0.12008733302354813,7307.0,18575.0,55.0,1.3678061962127686,21839.0,25407.0,10106.0,14.0
284,Faaris200,370.0,32.0,874.0,7910.0,0.44164758920669556,7910.0,33618.0,386.0,1.155333399772644,7196.0,38840.0,11673.0,16.0
285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
286,Tomsci4,409.0,23.0,1349.0,8910.0,0.4544106721878052,8910.0,38201.0,613.0,1.1785554885864258,3401.0,45022.0,8755.0,18.0
287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
288,rharwood300,585.0,10.0,457.0,12160.0,0.14004376530647278,12160.0,26670.0,64.0,1.0287588834762573,2806.0,27437.0,7092.0,9.0
289,TopShotazz,716.0,30.0,701.0,10646.0,0.5249643325805664,10646.0,33547.0,368.0,1.434137225151062,13754.0,48111.0,11539.0,20.0
290,josepericopalote,883.0,24.0,578.0,12717.0,0.11764705926179886,12717.0,32729.0,68.0,1.6730116605758667,14508.0,54756.0,12658.0,20.0
291,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
292,rayanoux22,16.0,32.0,1475.0,10260.0,0.2806779742240906,10260.0,43466.0,414.0,1.6715823411941528,6998.0,72657.0,13415.0,24.0
293,Cypher_SLD,180.0,77.0,799.0,4360.0,0.37421777844429016,4360.0,17672.0,299.0,1.333182454109192,1048.0,23560.0,6897.0,11.0
294,vr452887,574.0,13.0,1071.0,10063.0,0.8132586479187012,10063.0,47677.0,871.0,1.270025372505188,11423.0,60551.0,8143.0,16.0
295,aBeefyBoi,247.0,23.0,495.0,6456.0,0.1797979772090912,6456.0,15885.0,89.0,1.6728990077972412,508.0,26574.0,5607.0,12.0
296,eR_CaLaDa_aMaRGa,477.0,23.0,1223.0,9443.0,0.8830744028091431,9443.0,32827.0,1080.0,1.2624973058700562,5871.0,41444.0,8521.0,15.0
297,Umutkoca,215.0,156.0,635.0,10449.0,0.4614173173904419,10449.0,35327.0,293.0,1.8119851350784302,21137.0,64012.0,16777.0,17.0
298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,LOST_Beniboy_XD,22.0,11.0,6.0,1974.0,0.5,1974.0,7794.0,3.0,1.0782653093338013,463.0,8404.0,1856.0,6.0
301,Ghost_Balor1916,24.0,8.0,47.0,1939.0,0.1489361673593521,1939.0,8156.0,7.0,0.931093692779541,320.0,7594.0,1668.0,10.0
302,ghost_danjel,1.0,19.0,24.0,974.0,0.5,974.0,3839.0,12.0,1.0359468460083008,191.0,3977.0,1062.0,14.0
303,AmirBacha19,1.0,8.0,15.0,381.0,2.0,381.0,2042.0,30.0,0.971106767654419,86.0,1983.0,348.0,7.0
304,IV_40_kirtap,24.0,9.0,12.0,2882.0,0.9166666865348816,2882.0,12125.0,11.0,0.9903505444526672,422.0,12008.0,2428.0,9.0
